name,restaurant_quality,restaurant_price,extra_info,nytimes_critics_pick,cuisine,lon,lat,location,yelp_review_count,yelp_rating,delivers
Sushi Nakazawa,EXCELLENT,VERY_EXPENSIVE,"NYT Critic’s Pick3 starJapanese, Sushi$$$$West Village",TRUE,"Japanese, Sushi",-74.0044906,40.7318015,West Village,1387,4.5,FALSE
Gotham Bar and Grill,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starAmerican$$$$Greenwich Village,TRUE,American,-73.9936942,40.734199,Greenwich Village,2890,4.5,FALSE
Del Posto,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starItalian$$$$Chelsea,TRUE,Italian,-74.0079322,40.7433097,Chelsea,1440,4,FALSE
Odo,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starJapanese$$$$Flatiron district,TRUE,Japanese,-73.9921624,40.7403982,Flatiron district,23,4,FALSE
Benno,EXCELLENT,VERY_EXPENSIVE,"NYT Critic’s Pick3 starFrench, Italian$$$$NoMad",TRUE,"French, Italian",-73.98697440000001,40.7439469,NoMad,39,4.5,FALSE
Atomix,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starKorean$$$$Murray Hill,TRUE,Korean,-73.9828146,40.7442469,Murray Hill,74,4.5,FALSE
Shoji at 69 Leonard Street,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starJapanese$$$$TriBeCa,TRUE,Japanese,-74.0054,40.7176,TriBeCa,53,4,FALSE
The Grill,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starAmerican$$$$Midtown,TRUE,American,-73.9718681,40.7583177,Midtown,189,4,FALSE
Union Square Cafe,EXCELLENT,VERY_EXPENSIVE,"NYT Critic’s Pick3 starAmerican, Italian$$$$Gramercy Park",TRUE,"American, Italian",-73.9878767,40.7377702,Gramercy Park,1219,4,FALSE
Aska,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starScandinavian$$$$Williamsburg,TRUE,Scandinavian,-73.966422,40.7122907,Williamsburg,101,4.5,FALSE
Le Coucou,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starFrench$$$$SoHo,TRUE,French,-74.00018589999999,40.7191075,SoHo,563,4,FALSE
Gramercy Tavern,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starAmerican$$$$Flatiron,TRUE,American,-73.98850639999999,40.7384555,Flatiron,2890,4.5,FALSE
Agern,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starScandinavian$$$$Midtown East,TRUE,Scandinavian,-73.97723529999999,40.7527277,Midtown East,205,4,FALSE
Aquavit,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starScandinavian$$$$Midtown East,TRUE,Scandinavian,-73.97723529999999,40.7527277,Midtown East,742,4,FALSE
Momofuku Ko,EXCELLENT,VERY_EXPENSIVE,"NYT Critic’s Pick3 starAsian, French$$$$East Village",TRUE,"Asian, French",-73.991678,40.724834799999996,East Village,309,4.5,FALSE
Gabriel Kreuther,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starFrench$$$$Midtown,TRUE,French,-73.9825,40.7544444,Midtown,425,4.5,FALSE
Blanca,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starAmerican$$$$Bushwick,TRUE,American,-73.9335866,40.7050622,Bushwick,169,4,FALSE
Agern,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starScandinavian$$$$Midtown East,TRUE,Scandinavian,-73.9721667,40.7608111,Midtown East,205,4,FALSE
Aquavit,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starScandinavian$$$$Midtown East,TRUE,Scandinavian,-73.9721667,40.7608111,Midtown East,742,4,FALSE
Shuko,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starJapanese$$$$Greenwich Village,TRUE,Japanese,-73.9916539,40.7336156,Greenwich Village,282,4,FALSE
The Simone,EXCELLENT,VERY_EXPENSIVE,"NYT Critic’s Pick3 starAmerican, French$$$$Upper East Side",TRUE,"American, French",-73.956948,40.7768662,Upper East Side,92,5,FALSE
Daniel,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starFrench$$$$Upper East Side,TRUE,French,-73.96758609999999,40.7667694,Upper East Side,1587,4.5,FALSE
Cafe Boulud,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starFrench$$$$Upper East Side,TRUE,French,-73.96758609999999,40.7667694,Upper East Side,726,4,FALSE
Carbone,EXCELLENT,VERY_EXPENSIVE,"NYT Critic’s Pick3 starAmerican, Italian$$$$Greenwich Village",TRUE,"American, Italian",-74.00021819999999,40.7279895,Greenwich Village,1003,4,FALSE
The Dining Room at the Modern,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starNew American$$$$Midtown East,TRUE,New American,-73.976753,40.761081,Midtown East,203,4,FALSE
Atera,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starAmerican$$$$TriBeCa,TRUE,American,-74.0055631,40.7169003,TriBeCa,259,4.5,FALSE
The NoMad,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starAmerican$$$$NoMad,TRUE,American,-73.9874105,40.7446072,NoMad,1474,4,FALSE
Kyo Ya,EXCELLENT,VERY_EXPENSIVE,"NYT Critic’s Pick3 starJapanese, Sushi$$$$East Village",TRUE,"Japanese, Sushi",-73.9853909,40.7266249,East Village,455,4.5,FALSE
Sushi Yasuda,EXCELLENT,VERY_EXPENSIVE,"NYT Critic’s Pick3 starJapanese, Sushi$$$$Midtown East",TRUE,"Japanese, Sushi",-73.97350829999999,40.7511139,Midtown East,2120,4,FALSE
Craft,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starNew American$$$$Flatiron,TRUE,New American,-73.9886678,40.7381658,Flatiron,111,4.5,FALSE
Masa,EXCELLENT,VERY_EXPENSIVE,"NYT Critic’s Pick3 starJapanese, Sushi$$$$Upper West Side",TRUE,"Japanese, Sushi",-73.9830458,40.7685299,Upper West Side,333,4,FALSE
Brooklyn Fare,EXCELLENT,VERY_EXPENSIVE,"NYT Critic’s Pick3 starAmerican, Seafood$$$$Boerum Hill",TRUE,"American, Seafood",-73.9964617,40.7561226,Boerum Hill,520,4.5,FALSE
Ai Fiori,EXCELLENT,VERY_EXPENSIVE,"NYT Critic’s Pick3 starFrench, Italian$$$$Midtown South",TRUE,"French, Italian",-73.9837835,40.7500752,Midtown South,1261,4,FALSE
La Grenouille,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starFrench$$$$Midtown East,TRUE,French,-73.975597,40.75965900000001,Midtown East,433,4,FALSE
Marea,EXCELLENT,VERY_EXPENSIVE,"NYT Critic’s Pick3 starItalian, Seafood$$$$Midtown",TRUE,"Italian, Seafood",-73.9808685,40.76747890000001,Midtown,2035,4,FALSE
Minetta Tavern,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starFrench$$$$Greenwich Village,TRUE,French,-74.0007016,40.7299881,Greenwich Village,2190,4,FALSE
Daniel,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starFrench$$$$Upper East Side,TRUE,French,-73.9640958,40.7744937,Upper East Side,1587,4.5,FALSE
Cafe Boulud,EXCELLENT,VERY_EXPENSIVE,NYT Critic’s Pick3 starFrench$$$$Upper East Side,TRUE,French,-73.9640958,40.7744937,Upper East Side,726,4,FALSE
Birria-Landia,VERY_GOOD,INEXPENSIVE,NYT Critic’s Pick2 starMexican$Jackson Heights,TRUE,Mexican,-73.887785,40.7472387,Jackson Heights,63,5,FALSE
Bread and Salt,VERY_GOOD,INEXPENSIVE,"NYT Critic’s Pick2 starItalian, Pizza$Jersey City",TRUE,"Italian, Pizza",-74.0448569,40.7435823,Jersey City,105,4,TRUE
Little Tong Noodle Shop,VERY_GOOD,INEXPENSIVE,NYT Critic’s Pick2 starChinese$East Village,TRUE,Chinese,-73.98432799999999,40.729379,East Village,267,4,TRUE
Superiority Burger,VERY_GOOD,INEXPENSIVE,NYT Critic’s Pick2 starVegan$East Village,TRUE,Vegan,-73.9834728,40.7275002,East Village,603,4,TRUE
Mighty Quinn's Barbeque,VERY_GOOD,INEXPENSIVE,NYT Critic’s Pick2 starBarbecue$East Village,TRUE,Barbecue,-73.9886167,40.7275899,East Village,269,3.5,TRUE
Spicy & Tasty,VERY_GOOD,INEXPENSIVE,2 starChinese$Flushing,FALSE,Chinese,-73.258991,40.84722,Flushing,221,4.5,TRUE
Sripraphai,VERY_GOOD,INEXPENSIVE,2 starThai$Woodside,FALSE,Thai,-73.8992506,40.7464269,Woodside,2324,4,FALSE
The Four Horsemen,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starAmerican$$Williamsburg,TRUE,American,-73.957307,40.7130869,Williamsburg,182,4.5,FALSE
Nami Nori,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starJapanese$$Greenwich Village,TRUE,Japanese,-74.0032496,40.7302914,Greenwich Village,134,4,FALSE
Lokanta,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starTurkish$$Astoria,TRUE,Turkish,-73.92488929999999,40.7615617,Astoria,103,4,FALSE
Una Pizza Napoletana,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starItalian, Pizza$$Lower East Side",TRUE,"Italian, Pizza",-73.9886214,40.7217573,Lower East Side,117,3.5,FALSE
Hanon,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starJapanese$$Williamsburg,TRUE,Japanese,-73.95134449999999,40.71344879999999,Williamsburg,103,4.5,FALSE
Wayan,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starIndonesian$$NoLIta,TRUE,Indonesian,-73.9950855,40.7213692,NoLIta,205,4.5,FALSE
Haenyeo,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starKorean$$Park Slope,TRUE,Korean,-74.0059728,40.7127753,Park Slope,117,4,TRUE
Cka Ka Qellu,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starEastern European $$Belmont,TRUE,Eastern European,-73.88821159999999,40.8539343,Belmont,74,4.5,TRUE
Cherry Point,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starAmerican, English$$Greenpoint",TRUE,"American, English",-73.9510951,40.7247241,Greenpoint,142,4.5,FALSE
Adda Indian Canteen,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starIndian$$Long Island City,TRUE,Indian,-73.9342389,40.7450126,Long Island City,321,4,TRUE
Hunan Slurp,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starChinese$$East Village,TRUE,Chinese,-73.9856429,40.7266937,East Village,215,4,TRUE
Village Cafe,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starEastern European $$Midwood,TRUE,Eastern European,-73.9625157,40.6090366,Midwood,90,4.5,FALSE
Soogil,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starKorean$$East Village,TRUE,Korean,-73.98837309999999,40.7256823,East Village,112,4,TRUE
Oiji,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starKorean$$East Village,TRUE,Korean,-73.98837309999999,40.7256823,East Village,505,4.5,FALSE
La Mercerie,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starFrench$$SoHo,TRUE,French,-74.0021708,40.72014780000001,SoHo,162,3.5,FALSE
Claro,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starMexican$$Gowanus,TRUE,Mexican,NA,NA,Gowanus,169,4,TRUE
Chez Ma Tante,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starAmerican, European$$Greenpoint",TRUE,"American, European",-73.9573881,40.7268985,Greenpoint,164,4.5,FALSE
Tetsu,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starAmerican, Japanese$$TriBeCa",TRUE,"American, Japanese",-74.00529569999999,40.7173363,TriBeCa,132,3.5,TRUE
Jeju Noodle Bar,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starKorean$$West Village,TRUE,Korean,-74.0073417,40.7329889,West Village,557,4.5,FALSE
Ugly Baby,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starThai$$Carroll Gardens,TRUE,Thai,-73.9960619,40.6778956,Carroll Gardens,340,4.5,FALSE
Cote,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starKorean$$Flatiron,TRUE,Korean,-73.99142859999999,40.7410508,Flatiron,871,4,FALSE
Oberlin,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starAmerican, Italian, Seafood$$Providence, RI",TRUE,"American, Italian, Seafood",-82.22108899999999,41.2958696,"Providence, RI",372,3.5,TRUE
Atla,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starMexican$$NoHo,TRUE,Mexican,-73.9939581,40.7271532,NoHo,287,3.5,FALSE
ABCV,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starVegan, Vegetarian$$Flatiron",TRUE,"Vegan, Vegetarian",-73.98928409999999,40.7379803,Flatiron,518,4,FALSE
Atoboy,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starKorean$$NoMad,TRUE,Korean,-73.984537,40.743663,NoMad,361,4.5,FALSE
Franklin Barbecue,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starAmerican, Barbecue$$Austin, Tex.",TRUE,"American, Barbecue",-97.7313345,30.270046,"Austin, Tex.",36,4.5,FALSE
Sahib,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starIndian$$Kips Bay,TRUE,Indian,-73.98296590000001,40.7423098,Kips Bay,214,4,TRUE
Hao Noodle and Tea by Madam Zhu’s Kitchen,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starChinese$$Greenwich Village,TRUE,Chinese,-74.0000259,40.7335054,Greenwich Village,388,4.5,FALSE
Olmsted,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starAmerican$$Prospect Heights,TRUE,American,-73.9687778,40.67715829999999,Prospect Heights,386,4,FALSE
Pasquale Jones,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starAmerican, Italian$$Little Italy",TRUE,"American, Italian",-73.9967554,40.7210784,Little Italy,245,3.5,FALSE
Insa,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starKorean$$Gowanus,TRUE,Korean,-73.982591,40.679547,Gowanus,253,3.5,TRUE
High Street on Hudson,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starAmerican$$West Village,TRUE,American,-74.0056796,40.7389011,West Village,415,4,TRUE
Little Pepper,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starChinese$$College Point,TRUE,Chinese,-73.846049,40.782447,College Point,313,4,TRUE
Llama Inn,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starLatin American$$Williamsburg,TRUE,Latin American,-73.9505721,40.7166413,Williamsburg,469,4,FALSE
Wildair,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starAmerican$$Lower East Side,TRUE,American,-73.9891648,40.7200222,Lower East Side,180,4,FALSE
Soogil,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starKorean$$East Village,TRUE,Korean,-73.985845,40.727263,East Village,112,4,TRUE
Oiji,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starKorean$$East Village,TRUE,Korean,-73.985845,40.727263,East Village,505,4.5,FALSE
Mu Ramen,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starAmerican, Japanese$$Long Island City",TRUE,"American, Japanese",-73.9506487,40.7438072,Long Island City,1217,3.5,FALSE
Huertas,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starSpanish$$East Village,TRUE,Spanish,-73.9862162,40.7268446,East Village,308,4,FALSE
Bar Primi,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starItalian$$East Village,TRUE,Italian,-73.9917116,40.7256662,East Village,626,3.5,TRUE
Ivan Ramen,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starAmerican, Japanese$$Lower East Side",TRUE,"American, Japanese",-73.9845212,40.7205819,Lower East Side,1289,3.5,TRUE
Russ & Daughters Cafe,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starEastern European$$Lower East Side,TRUE,Eastern European,-73.9895879,40.7196441,Lower East Side,999,4,FALSE
El Quinto Pino,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starSpanish$$Chelsea,TRUE,Spanish,-74.0011974,40.74741239999999,Chelsea,293,3.5,TRUE
Toro,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starSpanish$$Chelsea,TRUE,Spanish,-74.0011974,40.74741239999999,Chelsea,495,3.5,FALSE
Gotham West Market,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starAmerican, Coffee Shops, Diners, Japanese, Sandwiches, Spanish, Tapas$$Clinton",TRUE,"American, Coffee Shops, Diners, Japanese, Sandwiches, Spanish, Tapas",-73.9968963,40.7624543,Clinton,555,4,FALSE
El Quinto Pino,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starSpanish$$Chelsea,TRUE,Spanish,-74.0083374,40.743252,Chelsea,293,3.5,TRUE
Toro,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starSpanish$$Chelsea,TRUE,Spanish,-74.0083374,40.743252,Chelsea,495,3.5,FALSE
Casa Enrique,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starMexican$$Long Island City,TRUE,Mexican,-73.95438089999999,40.7434063,Long Island City,1184,4,TRUE
Pig and Khao,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starAsian$$Lower East Side,TRUE,Asian,-73.9848028,40.7192889,Lower East Side,1654,4,FALSE
Krescendo,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starItalian, Pizza$$Boerum Hill",TRUE,"Italian, Pizza",-73.9863781,40.687265,Boerum Hill,621,4.5,TRUE
Moti Mahal Delux,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starIndian$$Upper East Side,TRUE,Indian,-73.9603867,40.7621148,Upper East Side,473,4,TRUE
Dirt Candy,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starAmerican, Vegetarian$$East Village",TRUE,"American, Vegetarian",-73.99063090000001,40.717847,East Village,651,4,FALSE
La Vara,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starSpanish, Tapas$$Cobble Hill",TRUE,"Spanish, Tapas",-73.9957536,40.6878015,Cobble Hill,358,4,FALSE
Hill Country Barbecue Market,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starBarbecue$$Midtown South,TRUE,Barbecue,-73.9904866,40.7441558,Midtown South,2164,3.5,TRUE
Cafe China,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starChinese$$Midtown South,TRUE,Chinese,-73.9821584,40.7500611,Midtown South,1620,4,TRUE
Parm,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starAmerican, Italian$$Nolita",TRUE,"American, Italian",-73.9792883,40.7764282,Nolita,740,3.5,TRUE
Roberta's,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starItalian, Pizza$$Bushwick",TRUE,"Italian, Pizza",-73.97667609999999,40.754368,Bushwick,2829,4,TRUE
Prime Meats,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starGerman$$Carroll Gardens,TRUE,German,-74.0016339,40.7272362,Carroll Gardens,7,4,FALSE
Novitá,VERY_GOOD,MODERATE,2 starItalian$$Gramercy Park,FALSE,Italian,NA,NA,Gramercy Park,308,4,TRUE
Szechuan Gourmet,VERY_GOOD,MODERATE,2 starChinese$$Midtown South,FALSE,Chinese,-73.98291979999999,40.7656668,Midtown South,345,3,TRUE
Boqueria,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starSpanish$$Flatiron,TRUE,Spanish,-73.99001249999999,40.7554094,Flatiron,1005,4,TRUE
Morgan Dining Room,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starNew American$$Midtown South,TRUE,New American,-73.9815265,40.7492094,Midtown South,24,3.5,FALSE
Degustation Wine & Tasting Bar,VERY_GOOD,MODERATE,"2 starFrench, Spanish$$East Village",FALSE,"French, Spanish",-74.0057765,40.7423569,East Village,302,4.5,TRUE
Cafe D'Alsace,VERY_GOOD,MODERATE,"NYT Critic’s Pick2 starEuropean, German$$Upper East Side",TRUE,"European, German",-73.9510841,40.7791721,Upper East Side,1196,4,TRUE
Al di Là,VERY_GOOD,MODERATE,NYT Critic’s Pick2 starItalian$$Park Slope North,TRUE,Italian,-73.9814311,40.6753101,Park Slope North,890,4,FALSE
The Red Cat,VERY_GOOD,MODERATE,"2 starMediterranean, New American$$Chelsea",FALSE,"Mediterranean, New American",-74.00419,40.748122,Chelsea,38,3.5,FALSE
Donguri,VERY_GOOD,MODERATE,"2 starJapanese, Sushi$$Upper East Side",FALSE,"Japanese, Sushi",-73.9522764,40.7757788,Upper East Side,143,4,TRUE
Bread Tribeca,VERY_GOOD,MODERATE,2 starItalian$$TriBeCa,FALSE,Italian,-74.00585989999999,40.7200392,TriBeCa,390,4.5,FALSE
Otto Enoteca Pizzeria,VERY_GOOD,MODERATE,"2 starItalian, Pizza$$Greenwich Village",FALSE,"Italian, Pizza",-73.996223,40.731991,Greenwich Village,2121,3.5,TRUE
Café Sabarsky,VERY_GOOD,MODERATE,2 starAustrian$$Upper East Side,FALSE,Austrian,-73.9602568,40.7812357,Upper East Side,498,4,FALSE
Heartbeat,VERY_GOOD,MODERATE,2 starNew American$$Midtown East,FALSE,New American,-73.9834736,40.7630929,Midtown East,26,3.5,FALSE
Chola,VERY_GOOD,MODERATE,2 starIndian$$Midtown East,FALSE,Indian,-73.96578,40.7602098,Midtown East,599,4,TRUE
Tang Pavilion,VERY_GOOD,MODERATE,2 starChinese$$Midtown,FALSE,Chinese,-73.97706939999999,40.7627063,Midtown,306,3.5,TRUE
Kang Suh Restaurant,VERY_GOOD,MODERATE,2 starKorean$$Koreatown,FALSE,Korean,-73.9878548,40.7478189,Koreatown,2020,4,FALSE
Uogashi,VERY_GOOD,EXPENSIVE,NYT Critic’s Pick2 starJapanese$$$Clinton,TRUE,Japanese,-73.9869736,40.7631984,Clinton,76,4.5,FALSE
Babs,VERY_GOOD,EXPENSIVE,"NYT Critic’s Pick2 starFrench, Spanish$$$Greenwich Village",TRUE,"French, Spanish",-74.0018035,40.7282523,Greenwich Village,34,3.5,FALSE
Hutong,VERY_GOOD,EXPENSIVE,NYT Critic’s Pick2 starChinese$$$,TRUE,Chinese,-73.96790469999999,40.7618559,NA,278,3.5,FALSE
